,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
0,aws,12/12/2024,Amazon Cognito,amazon_cognito,Amazon Cognito,technique_scores,T1078,Valid Accounts,16.1,enterprise,protect,minimal,,"['https://docs.aws.amazon.com/cognito/latest/developerguide/what-is-amazon-cognito.html', 'https://docs.aws.amazon.com/cognito/latest/developerguide/cognito-user-pool-settings-compromised-credentials.html', 'https://docs.aws.amazon.com/cognito/latest/developerguide/cognito-user-pool-settings-adaptive-authentication.html']",This control provides partial protection for one of this technique's sub-techniques and a few of its procedure examples resulting in an overall Minimal protection score.,,09/21/2021,12/11/2024
1,aws,12/12/2024,Amazon Cognito,amazon_cognito,Amazon Cognito,technique_scores,T1078.004,Cloud Accounts,16.1,enterprise,protect,partial,T1078,[],"Amazon Cognito has the ability to alert and block accounts where credentials were found to be compromised elsewhere (compromised credential protection). The service also detects unusual sign-in activity, such as sign-in attempts from new locations and devices and can either prompt users for additional verification or block the sign-in request.  There was insufficient detail on the operation of these capabilities and therefore a conservative assessment of a Partial score has been assigned.",,09/21/2021,12/11/2024
2,aws,12/12/2024,Amazon Cognito,amazon_cognito,Amazon Cognito,technique_scores,T1110,Brute Force,16.1,enterprise,protect,significant,,"['https://docs.aws.amazon.com/cognito/latest/developerguide/what-is-amazon-cognito.html', 'https://docs.aws.amazon.com/cognito/latest/developerguide/cognito-user-pool-settings-compromised-credentials.html', 'https://docs.aws.amazon.com/cognito/latest/developerguide/cognito-user-pool-settings-adaptive-authentication.html']","Amazon Cognito's MFA capability provides significant protection against password compromises, requiring the adversary to complete an additional authentication method before their access is permitted.",,09/21/2021,12/11/2024
3,aws,12/12/2024,Amazon Cognito,amazon_cognito,Amazon Cognito,technique_scores,T1110.001,Password Guessing,16.1,enterprise,protect,significant,T1110,[],"MFA can significantly reduce the impact of a password compromise, requiring the adversary to complete an additional authentication method before their access is permitted.",,09/21/2021,12/11/2024
4,aws,12/12/2024,Amazon Cognito,amazon_cognito,Amazon Cognito,technique_scores,T1110.002,Password Cracking,16.1,enterprise,protect,significant,T1110,[],"MFA can significantly reduce the impact of a password compromise, requiring the adversary to complete an additional authentication method before their access is permitted.",,09/21/2021,12/11/2024
5,aws,12/12/2024,Amazon Cognito,amazon_cognito,Amazon Cognito,technique_scores,T1110.003,Password Spraying,16.1,enterprise,protect,significant,T1110,[],"MFA can significantly reduce the impact of a password compromise, requiring the adversary to complete an additional authentication method before their access is permitted.",,09/21/2021,12/11/2024
6,aws,12/12/2024,Amazon Cognito,amazon_cognito,Amazon Cognito,technique_scores,T1110.004,Credential Stuffing,16.1,enterprise,protect,significant,T1110,[],"MFA can significantly reduce the impact of a password compromise, requiring the adversary to complete an additional authentication method before their access is permitted.",,09/21/2021,12/11/2024
7,aws,12/12/2024,Amazon GuardDuty,amazon_guardduty,Amazon GuardDuty,technique_scores,T1020,Automated Exfiltration,16.1,enterprise,detect,partial,,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']","The following GuardDuty finding type flags events that may indicate adversaries attempting to exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.
Behavior:EC2/TrafficVolumeUnusual Exfiltration:S3/MaliciousIPCaller Exfiltration:S3/ObjectRead.Unusual PenTest:S3/KaliLinux PenTest:S3/ParrotLinux PenTest:S3/PentooLinux UnauthorizedAccess:S3/MaliciousIPCaller.Custom UnauthorizedAccess:S3/TorIPCaller",,09/21/2021,12/11/2024
8,aws,12/12/2024,Amazon GuardDuty,amazon_guardduty,Amazon GuardDuty,technique_scores,T1021.008,Direct Cloud VM Connections,16.1,enterprise,detect,partial,T1021,['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-iam.html#unauthorizedaccess-iam-consoleloginsuccessb'],GuardDuty findings including UnauthorizedAccess:IAMUser/ConsoleLoginSuccess.B can aid in detection of this technique.,,09/21/2021,12/11/2024
9,aws,12/12/2024,Amazon GuardDuty,amazon_guardduty,Amazon GuardDuty,technique_scores,T1029,Scheduled Transfer,16.1,enterprise,detect,minimal,,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']","The following GuardDuty finding type flags events that may indicate adversaries attempting to exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection.
Behavior:EC2/TrafficVolumeUnusual
Accuracy and Coverage is unknown, as this finding flags traffic volume that differs from a baseline.",,09/21/2021,12/11/2024
10,aws,12/12/2024,Amazon GuardDuty,amazon_guardduty,Amazon GuardDuty,technique_scores,T1041,Exfiltration Over C2 Channel,16.1,enterprise,detect,minimal,,"['https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_finding-types-ec2.html#recon-ec2-portscan', 'https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_findings.html']","The following GuardDuty finding type flags events that may indicate adversaries attempting to exfiltrate data, such as sensitive documents.
Behavior:EC2/TrafficVolumeUnusual
Accuracy and Coverage is unknown, as this finding flags traffic volume that differs from a baseline.",,09/21/2021,12/11/2024
