,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
0,gcp,06/28/2022,Siemplify,siemplify,Siemplify,non_mappable,,,10.0,enterprise,,,,,"Siemplify primarily acts as a layer for alerts generated by other controls to be collected and trigger mitigation and remediation actions to be taken by other controls provided by the Google Cloud Platform. On its own, Siemplify does not provide additional coverage of Attack techniques and is not mappable.",,06/28/2022,06/28/2022
1,gcp,06/28/2022,Virus Total,virus_total,Virus Total,technique_scores,T1566,Phishing,10.0,enterprise,protect,significant,,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","VirusTotal, now part of Google Cloud, provides threat context and reputation data to help analyze suspicious files, URLs, domains, and IP addresses to detect cybersecurity threats.  This control can help mitigate adversaries that try to send malware via emails using malicious links or attachments. The malware-scanner service scans the uploaded document for malware.
If the document is infected, the service moves it to a quarantined bucket; otherwise the document is moved into another bucket that holds uninfected scanned documents.",,06/28/2022,06/28/2022
2,gcp,06/28/2022,Virus Total,virus_total,Virus Total,technique_scores,T1566.001,Spearphishing Attachment,10.0,enterprise,protect,partial,,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","VirusTotal, now part of Google Cloud, provides threat context and reputation data to help analyze suspicious files, URLs, domains, and IP addresses to detect cybersecurity threats. ",,06/28/2022,06/28/2022
3,gcp,06/28/2022,Virus Total,virus_total,Virus Total,technique_scores,T1059,Command and Scripting Interpreter,10.0,enterprise,protect,significant,,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","VirusTotal, now part of Google Cloud, provides threat context and reputation data to help analyze suspicious files, URLs, domains, and IP addresses to detect cybersecurity threats. ",,06/28/2022,06/28/2022
4,gcp,06/28/2022,Virus Total,virus_total,Virus Total,technique_scores,T1598.003,Spearphishing Link,10.0,enterprise,protect,significant,,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","Adversaries may send spearphishing messages with a malicious link to elicit sensitive information that can be used during targeting. VirusTotal Graph is a visualization tool built on top of the VirusTotal data set. It analyzes the relationship between files, URLs, domains, IP addresses, and other items encountered.",,06/28/2022,06/28/2022
5,gcp,06/28/2022,Virus Total,virus_total,Virus Total,technique_scores,T1566.002,Spearphishing Link,10.0,enterprise,protect,significant,,"['https://cloud.google.com/architecture/automating-malware-scanning-for-documents-uploaded-to-cloud-storage', 'https://cloud.google.com/chronicle/docs/investigation/view-virustotal-information', 'https://assets.virustotal.com/vt-360-outcomes.pdf']","VirusTotal, now part of Google Cloud, provides threat context and reputation data to help analyze suspicious files, URLs, domains, and IP addresses to detect cybersecurity threats.  This control can help mitigate adversaries sending malware through spearphishing emails. The malware-scanner service scans the uploaded document for malware. If the document is infected, the service moves it to a quarantined bucket; otherwise the document is moved into another bucket that holds uninfected scanned documents.",,06/28/2022,06/28/2022
6,gcp,06/28/2022,Hybrid Connectivity,hybrid_connectivity,Hybrid Connectivity,non_mappable,,,10.0,enterprise,,,,,This is not a security control and the controls that fall under the Hybrid Connectivity umbrella have their own mapping files.,,06/28/2022,06/28/2022
7,gcp,06/28/2022,Deployment Manager,deployment_manager,Deployment Manager,non_mappable,,,10.0,enterprise,,,,,"This control was not mapped because Deployment Manager   does not provide a security capability as a stand-alone tool and would require a 3rd party tool (e.g., Terraform) to mitigate denial of service type of cyber-attacks.",,06/28/2022,06/28/2022
8,gcp,06/28/2022,Confidential VM and Compute Engine,confidential_vm_and_compute_engine,Confidential VM and Compute Engine,technique_scores,T1565.003,Runtime Data Manipulation,10.0,enterprise,protect,significant,,['https://cloud.google.com/compute/confidential-vm/docs/about-cvm#security_and_privacy_features'],"Main memory encryption is performed using dedicated hardware within the memory controllers. Each controller includes a high-performance Advanced Encryption Standard (AES) engine. The AES engine encrypts data as it is written to DRAM or shared between sockets, and decrypts it when data is read.",,06/28/2022,06/28/2022
9,gcp,06/28/2022,Cloud Logging,cloud_logging,Cloud Logging,non_mappable,,,10.0,enterprise,,,,,"This control is not mappable because it does not provide significant detection of malicious techniques. Some of the other security controls that this control maps to are Azure DNS Analytics, AWS CloudTrail, AWS S3, and AWS Audit Manager. The S3 server access logging feature was not mapped because it was deemed to be a data source that can be used with other detective controls rather than a security control in of itself.",,06/28/2022,06/28/2022
10,gcp,06/28/2022,Cloud Hardware Security Module (HSM),cloud_hardware_security_module_(hsm),Cloud Hardware Security Module (HSM),technique_scores,T1552,Unsecured Credentials,10.0,enterprise,protect,partial,,['https://cloud.google.com/kms/docs/hsm'],"Google Cloud's HSM may protect against adversary's attempts to leverage unsecured credentials found on compromised systems. Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",,06/28/2022,06/28/2022
11,gcp,06/28/2022,Cloud Hardware Security Module (HSM),cloud_hardware_security_module_(hsm),Cloud Hardware Security Module (HSM),technique_scores,T1553,Subvert Trust Controls,10.0,enterprise,protect,partial,,['https://cloud.google.com/kms/docs/hsm'],"Google Cloud's HSM may protect against adversary's attempts to undermine trusted controls and conduct nefarious activity or execute malicious programs. Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",,06/28/2022,06/28/2022
12,gcp,06/28/2022,Cloud Hardware Security Module (HSM),cloud_hardware_security_module_(hsm),Cloud Hardware Security Module (HSM),technique_scores,T1588.003,Code Signing Certificates,10.0,enterprise,protect,partial,,['https://cloud.google.com/kms/docs/hsm'],"Google Cloud's HSM may protect against adversary's attempts to compromise code signing certificates that can used during targeting to run compromised code and other tampered executables. Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",,06/28/2022,06/28/2022
13,gcp,06/28/2022,Cloud Hardware Security Module (HSM),cloud_hardware_security_module_(hsm),Cloud Hardware Security Module (HSM),technique_scores,T1588.004,Digital Certificates,10.0,enterprise,protect,partial,,['https://cloud.google.com/kms/docs/hsm'],"Google Cloud's HSM may protect against adversary's attempts to compromise digital certificates that can used to encrypt data-in-transit or tamper with the certificate owner's communications.  Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",,06/28/2022,06/28/2022
14,gcp,06/28/2022,Cloud Hardware Security Module (HSM),cloud_hardware_security_module_(hsm),Cloud Hardware Security Module (HSM),technique_scores,T1552.004,Private Keys,10.0,enterprise,protect,partial,,['https://cloud.google.com/kms/docs/hsm'],"Google Cloud's HSM may protect against adversary's attempts to compromise private key certificate files (e.g., .key, .pgp, .ppk, .p12). Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",,06/28/2022,06/28/2022
15,gcp,06/28/2022,Cloud Hardware Security Module (HSM),cloud_hardware_security_module_(hsm),Cloud Hardware Security Module (HSM),technique_scores,T1552.001,Credentials In Files,10.0,enterprise,protect,partial,,['https://cloud.google.com/kms/docs/hsm'],"Google Cloud's HSM may protect against adversary's attempts to leverage passwords and unsecure credentials found in files on compromised systems.Variations of this technique are difficult to mitigate, so a partial score was granted for this control's medium to high coverage factor.",,06/28/2022,06/28/2022
